Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
leggings,Category,align leggings with pockets,8334,18.57%,"$203,136.45"
like a cloud,Collections,bras like a cloud,7122,16.74%,"$86,377.50"
pants,Category,Women’s pants,5412,5.99%,"$42,724.85"
cayenne,Color name,cayenne,5118,6.56%,"$22,820.45"
pink,Color Family,pink leggings,6593,6.44%,"$34,001.50"
leggings,Category,pink leggings,6593,6.44%,"$34,001.50"
contour,Color name,contour,5873,9.13%,"$46,834.85"
sculpt,Collections,sculpt cropped tank,7478,19.72%,"$85,285.50"
cropped,Length,sculpt cropped tank,7478,19.72%,"$85,285.50"
red,Color Family,red merlot,7975,10.33%,"$58,897.46"
red merlot,Color name,red merlot,7975,10.33%,"$58,897.46"
abc,Collections,abc slim,7523,18.95%,"$209,729.75"
red,Color Family,red leggings,6136,10.52%,"$57,959.15"
leggings,Category,red leggings,6136,10.52%,"$57,959.15"
cropped,Length,cropped jacket,6809,9.70%,"$82,490.35"
pants,Category,sweat pants,7285,5.52%,"$47,455.45"
chargefeel,Collections,chargefeel,7514,16.64%,"$110,630.45"
shirts,Category,men's shirts,5145,12.11%,"$59,238.35"
men,Gender,men,6502,7.32%,"$46,979.05"
abc,Collections,abc pant classic,7477,21.48%,"$248,616.95"
blue,Color Family,blue leggings,5759,4.54%,"$22,599.23"
leggings,Category,blue leggings,5759,4.54%,"$22,599.23"
scuba,Collections,scuba jogger,7892,12.81%,"$103,472.40"
perfectly oversized,Collections,perfectly oversized crew,7248,12.17%,"$86,582.60"
grey,Color Family,grey sage,4669,6.76%,"$22,999.80"
grey sage,Color name,grey sage,4669,6.76%,"$22,999.80"
mini,Length,belt bag mini,7922,18.98%,"$61,224.65"
align,Collections,lululemon align top,6208,6.33%,"$23,971.60"
shirts,Category,t shirts,6676,6.71%,"$38,385.90"
tights,Category,tights,5729,8.94%,"$57,053.95"
mini,Length,mini belt bag,9165,24.73%,"$89,831.75"
psychic,Color name,psychic,3957,4.43%,"$14,618.30"
